bid,nid,nombre,patente,pais,tipo,tipo_pesca,max_containers,max_ton,max_lit,id_capitan
0,0,Abbotsham,ZX2922,India,pesquero,hilo,,,,1070
1,0,Abdiel,PM8536,Canada,pesquero,red,,,,1186
2,1,Abeille,VC7492,Singapur,pesquero,arrastre,,,,1483
3,2,Abelardo,LS5992,Costa Rica,pesquero,manos,,,,1629
4,3,Abelia,PJ5481,Argentina,carga,,12853,80873,,1235
5,4,Abercrombie,LX6914,Qatar,petrolero,,,,747998,1472
6,5,Aberdeen,EH9187,Qatar,petrolero,,,,621254,30
7,6,Aberford,ST8633,Mexico,pesquero,arpon,,,,1557
8,2,Aberfoyle,EY2745,Japon,pesquero,arrastre,,,,465
9,7,abergavenny,LA5643,Siria,petrolero,,,,742270,316
10,8,Abigail,AU5998,Irlanda,pesquero,arrastre,,,,807
11,9,Abingdon,ET5609,Nicaragua,pesquero,red,,,,1315
12,8,abondance,MO4425,Filipinas,pesquero,hilo,,,,185
13,5,aboukir,BY5212,Colombia,petrolero,,,,667660,675
14,8,Abrahan,EG8528,Brasil,pesquero,arpon,,,,318
15,5,Abrams Oferta,QD4440,Estados Unidos,petrolero,,,,659028,1167
16,2,Abundancia,VX5561,Estados Unidos,pesquero,arpon,,,,636
17,10,Abisinia,VT6220,Mexico,carga,,12828,92920,,488
18,1,Acacia,XK7318,Argentina,pesquero,red,,,,700
19,5,Acanto,WW2485,Portugal,petrolero,,,,679090,380
20,3,acasta,HV2199,Mexico,carga,,11775,120647,,1486
21,1,As,ID7819,Panama,pesquero,manos,,,,1528
22,11,Acertif,QA2495,Nueva Zelanda,pesquero,hilo,,,,260
23,12,achates,WF7217,Islas Malvinas,carga,,12170,133012,,441
24,3,acheron,BN4195,Costa Rica,carga,,10673,141691,,64
25,13,Achille,UW2735,Austria,carga,,10712,113908,,1521
26,13,Aquiles,EF7582,Belgica,carga,,6206,108484,,491
27,10,Aconito,OT5458,Mexico,carga,,10805,128236,,1622
28,0,Bellota,YN4644,Islas Malvinas,pesquero,manos,,,,186
29,14,Acteon,FS3778,Indonesia,carga,,8470,142553,,1105
30,8,acteon,VW7522,Australia,pesquero,red,,,,1093
31,1,Calypso,VI4743,Canada,pesquero,arpon,,,,1291
32,4,Activo,OJ8771,España,petrolero,,,,561857,958
33,15,Actividad,OC4762,Finlandia,pesquero,arpon,,,,1639
